#node	date	numeric date
NODE_0000359	-138297384-08-22	-138297383.360017
NODE_0000360	-137069458-04-02	-137069457.748515
GMMDF1278-15|Anthribidae|Anthribidae|Madagascar|Toamasina|BIOUG_MADAGASACAR	-131997976-01-01	-131997976.000000
NODE_0000361	-134958126-06-05	-134958125.574764
GMMGL404-14|Anthribidae|Anthribidae|Malaysia|Selangor|BIOUG_GOMBAK	-131997976-01-01	-131997976.000000
GMMGQ187-14|Anthribidae|Anthribidae|Malaysia|Selangor|BIOUG_GOMBAK	-131997976-01-01	-131997976.000000
NODE_0000362	-137861138-03-11	-137861137.810876
GMNZW157-14|Anthribidae|Anthribidae|New_Zealand|Waikato|BIOUG_NZ	-131997976-01-01	-131997976.000000
NODE_0000363	-137435101-12-09	-137435100.063005
GMAQE018-17|Anthribidae|Anthribidae|Australia|Queensland|	-131997976-01-01	-131997976.000000
NODE_0000364	-136486482-12-29	-136486481.006249
GMNGG142-16|Anthribidae|Anthribidae|Papua_New_Guinea|Madang|	-131997976-01-01	-131997976.000000
NODE_0000365	-135933759-09-25	-135933758.267184
GMAQL610-17|Anthribidae|Anthribidae|Australia|Queensland|	-131997976-01-01	-131997976.000000
GMBCB3737-15|Anthribidae|Anthribidae|Bangladesh|Chittagong|BIOUG_BANGLADESH	-131997976-01-01	-131997976.000000
NODE_0000309	-138590927-12-31	-138590926.002497
NODE_0000310	-138590927-12-31	-138590926.002497
GMCOO145-15|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|BIOUG_ACG	-131997976-01-01	-131997976.000000
GMMDA501-15|Anthribidae|Anthribidae|Madagascar|Toamasina|BIOUG_MADAGASACAR	-131997976-01-01	-131997976.000000
NODE_0000339	-137581264-02-24	-137581263.849542
NODE_0000342	-137303908-08-03	-137303907.411648
BIOD07400	-131997976-01-01	-131997976.000000
NODE_0000343	-133459370-04-07	-133459369.735003
JICAC023-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
NODE_0000344	-132047793-02-23	-132047792.852841
BIOD03963	-131997976-01-01	-131997976.000000
BIOD08747	-131997976-01-01	-131997976.000000
NODE_0000321	-137581264-02-24	-137581263.849542
NODE_0000340	-135122061-11-18	-135122060.119559
JCCCN1047-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
BIOD05999	-131997976-01-01	-131997976.000000
NODE_0000345	-137146190-04-05	-137146189.740145
NODE_0000328	-137146190-04-05	-137146189.740145
BIOD06009	-131997976-01-01	-131997976.000000
NODE_0000346	-132010255-07-23	-132010254.442928
BIOD06889	-131997976-01-01	-131997976.000000
BIOD07387	-131997976-01-01	-131997976.000000
NODE_0000348	-136186965-11-25	-136186964.099827
NODE_0000349	-133678743-05-30	-133678742.591068
JIEEO083-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
BIOD03631	-131997976-01-01	-131997976.000000
NODE_0000350	-135951018-02-28	-135951017.839525
JCCCN078-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
NODE_0000351	-133807718-04-27	-133807717.682084
BIOD06188	-131997976-01-01	-131997976.000000
BIOD05737	-131997976-01-01	-131997976.000000
NODE_0000337	-138965245-06-28	-138965244.512166
NODE_0000338	-138965245-06-28	-138965244.512166
NODE_0000313	-137697611-11-17	-137697610.122656
GMAQF015-17|Anthribidae|Anthribidae|Australia|Queensland|	-131997976-01-01	-131997976.000000
NODE_0000314	-136300104-08-14	-136300103.382141
GMHDE261-13|Anthribidae|Anthribidae|Honduras|Cortes|BIOUG_CUSU-NP_2	-131997976-01-01	-131997976.000000
NODE_0000315	-136139145-01-27	-136139144.926619
NODE_0000316	-134541923-11-21	-134541922.111608
BIOD02843	-131997976-01-01	-131997976.000000
JICBI170-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
NODE_0000317	-134889892-10-04	-134889891.241224
BIOD10016	-131997976-01-01	-131997976.000000
NODE_0000318	-134036589-04-04	-134036588.743383
JIAAI003-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
BIOD04341	-131997976-01-01	-131997976.000000
NODE_0000347	-138965245-06-28	-138965244.512166
NODE_0000356	-138965245-06-28	-138965244.512166
NODE_0000312	-135479279-04-30	-135479278.671843
BIOD06712	-131997976-01-01	-131997976.000000
BIOD07929	-131997976-01-01	-131997976.000000
NODE_0000415	-136556148-11-16	-136556147.125310
NODE_0000416	-135049819-06-12	-135049818.555771
BIOD07157	-131997976-01-01	-131997976.000000
NODE_0000417	-132149684-10-04	-132149683.243158
BIOD09242	-131997976-01-01	-131997976.000000
BIOD04462	-131997976-01-01	-131997976.000000
NODE_0000418	-135664803-03-25	-135664802.770227
CNTIA1531-15|Trigonorhinus_sticticus|Anthribidae|Canada|Ontario|BIOUG_STLAW-NP	-131997976-01-01	-131997976.000000
NODE_0000419	-134880636-04-13	-134880635.719091
NODE_0000420	-132525289-12-12	-132525288.054033
CNGSF2639-15|Trigonorhinus_annulatus|Anthribidae|Canada|Saskatchewan|BIOUG_GRASS-NP	-131997976-01-01	-131997976.000000
MBIOD1079-13|Trigonorhinus_alternatus|Anthribidae|Canada|Ontario|BIOUG_BIOINST	-131997976-01-01	-131997976.000000
NODE_0000421	-132010255-07-23	-132010254.442928
GMBUA337-14|Anthribus_nebulosus|Anthribidae|Bulgaria|Sofiya|BIOUG_SOFIYA	-131997976-01-01	-131997976.000000
NODE_0000422	-132010255-07-23	-132010254.442928
PHMAL211-10|Anthribus_nebulosus|Anthribidae|Canada|Ontario|BIOUG_PDH-home	-131997976-01-01	-131997976.000000
GMBMJ1807-17|Anthribus_nebulosus|Anthribidae|Belarus|Minskaya_Voblasts|	-131997976-01-01	-131997976.000000
NODE_0000319	-137730157-08-17	-137730156.373851
NODE_0000320	--	--
NODE_0000368	--	--
GMGAB171-17|Anthribidae|Anthribidae|Gabon|Moyen-Ogooue|	--	--
GMGGM714-17|Anthribidae|Anthribidae|Gabon|Moyen-Ogooue|	--	--
NODE_0000322	--	--
BIOD03426	--	--
NODE_0000323	--	--
GMGBA061-17|Anthribidae|Anthribidae|Gabon|Moyen-Ogooue|	--	--
BIOD05257	--	--
NODE_0000324	-136716367-06-26	-136716366.516995
GMNGJ093-16|Anthribidae|Anthribidae|Papua_New_Guinea|Madang|	-131997976-01-01	-131997976.000000
NODE_0000325	-136511393-07-01	-136511392.502484
GMAQD041-17|Anthribidae|Anthribidae|Australia|Queensland|	-131997976-01-01	-131997976.000000
NODE_0000326	-135806602-11-17	-135806601.121527
NODE_0000375	-135806602-11-17	-135806601.121527
JICBO135-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
NODE_0000327	-132010255-07-23	-132010254.442928
BIOD04024	-131997976-01-01	-131997976.000000
BIOD09846	-131997976-01-01	-131997976.000000
NODE_0000329	-135278490-05-17	-135278489.626983
NODE_0000333	-134031877-09-05	-134031876.321831
JIAAQ036-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
JICCD785-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
NODE_0000402	-135278490-05-17	-135278489.626983
NODE_0000330	-133630625-09-20	-133630624.281073
GMHMJ211-15|Anthribidae|Anthribidae|Honduras|Cortes|	-131997976-01-01	-131997976.000000
JIEEJ011-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
NODE_0000332	-133484187-02-06	-133484186.900650
JICBG040-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	--	--
JICBD119-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
NODE_0000423	-138428937-05-10	-138428936.646120
NODE_0000424	-137071644-11-29	-137071643.089929
BIOD03661	-131997976-01-01	-131997976.000000
NODE_0000425	-135975585-04-16	-135975584.711767
BIOD06312	-131997976-01-01	-131997976.000000
BIOD03431	-131997976-01-01	-131997976.000000
NODE_0000426	-137606378-10-09	-137606377.228825
NODE_0000446	-137591413-02-24	-137591412.850860
JIEEB024-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
NODE_0000447	-132097128-11-17	-132097127.121951
BIOD04957	-131997976-01-01	-131997976.000000
BIOD10094	-131997976-01-01	-131997976.000000
NODE_0000414	-137606378-10-09	-137606377.228825
NODE_0000430	-137606378-10-09	-137606377.228825
NODE_0000432	-137606378-10-09	-137606377.228825
NODE_0000427	-136551724-03-31	-136551723.755228
GMCDU1304-17|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
NODE_0000428	-136282762-11-05	-136282761.154963
JICCR535-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
NODE_0000429	-135028656-10-19	-135028655.200987
GMMCR1120-15|Anthribidae|Anthribidae|Mexico|Jalisco|BIOUG_CHAMELA	-131997976-01-01	-131997976.000000
BIOD06919	-131997976-01-01	-131997976.000000
NODE_0000441	-136767369-06-01	-136767368.584521
NODE_0000442	-132010255-07-23	-132010254.442928
BIOD04759	-131997976-01-01	-131997976.000000
BIOD09435	-131997976-01-01	-131997976.000000
NODE_0000443	-136258136-05-11	-136258135.643022
JICDH020-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
NODE_0000444	-135256760-12-29	-135256759.005566
JIEEC086-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
BIOD00357	-131997976-01-01	-131997976.000000
NODE_0000431	-137024361-01-19	-137024360.949598
NODE_0000436	-136247405-06-17	-136247404.540812
JIAAO147-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
BIOD05777	-131997976-01-01	-131997976.000000
