,Branch length stretch,Local substitution rate,date,numdate
BIOD03275,0.0,1.0000262239332018,,-161527462.94516644
BIOD03276,0.9999798001570194,1.0000000000281701,,-153991304.86609042
BIOD03277,0.0,0.9999918165551024,,-158442726.5872108
BIOD03287,0.9999923728587687,0.9999953048050559,,-153602908.01221535
BIOD03414,0.0,1.0000000464579422,,-154932277.35161385
BIOD03421,0.9999843444281779,1.0000009019158913,,-158184251.2029313
BIOD03425,0.657337373536056,1.2556060002612925,,-162386182.98258835
BIOD03446,0.5501078772645817,1.3555162198399164,,-163286257.49986812
BIOD03448,0.9999552796033356,1.0000000000000024,,-153720298.8849312
BIOD03456,0.0,1.0000000010545058,,-147848411.0412932
BIOD03458,0.0,1.0,,-142990472.96245348
BIOD03461,0.9999830372373316,1.000000000000002,,-148817182.0667559
BIOD03464,0.8915736976319684,1.0702091604831365,,-159910271.74637356
BIOD03468,0.9999910362379549,1.000000246916844,,-157418751.346034
BIOD03469,0.0,1.0000000043479764,,-156511823.15216208
BIOD03471,0.0,1.118513465105367,,-161987906.82800287
BIOD03672,0.9999882606698901,1.0000000000000004,,-150662149.17540792
BIOD03705,0.0,1.0000368911880486,,-160179031.7234409
BIOD03712,0.0,1.00009845506406,,-156793618.82295883
BIOD03714,0.0,1.0072992726955283,,-156181629.38674387
BIOD03723,0.9999941770034041,1.000000000001963,,-149424387.12314984
BIOD03728,0.0,1.0001091454670237,,-162908165.3007169
BIOD03735,0.0,1.0000066932688536,,-157380457.9179559
BIOD03738,0.9999882818862708,1.0000000399982714,,-153797251.85463184
BIOD03748,0.0,1.0000000043479764,,-156511823.15216208
BIOD03749,0.9999898886882336,1.0000005778041858,,-156479307.02192998
BIOD03752,0.9999938321611818,1.0000278887164518,,-155988992.25946638
BIOD03754,0.0,1.0000000398842042,,-155706868.49833918
BIOD03783,0.0,0.9999993806085012,,-143996577.97864148
BIOD03877,0.9996303885833113,1.0002948183871403,,-160201139.08893132
BIOD03888,0.0,1.00009845506406,,-156793618.82295883
BIOD03903,0.0,1.0000988872642687,,-160003525.26510337
BIOD03909,0.9997415556056608,1.0002962151651775,,-152856920.78594878
BIOD03926,0.0,1.0000000008922822,,-145763514.33013394
BIOD03929,0.0,1.0000000022237587,,-153949608.28787032
BIOD03948,0.9999920172498816,0.9088008681900916,,-157810966.45854044
BIOD04030,0.998809431998442,1.0011605169645195,,-156453907.62563944
BIOD04035,0.0,1.0000063835074906,,-156076795.6976508
BIOD04043,0.0,1.0003867254896284,,-156761605.65040362
BIOD04067,0.0,1.0000000022237587,,-153949608.28787032
BIOD04069,0.0,1.0000000669904434,,-153300393.51951295
BIOD04076,0.0,1.0000000000000002,,-146013343.05705133
BIOD04077,0.0,1.000099073024811,,-153985667.94372922
BIOD04095,0.0,1.0000983711324865,,-161065787.98562995
BIOD04267,0.9999950990136386,1.0000000089221843,,-154015611.2967013
BIOD04287,0.9665325041762763,1.021898304788218,,-155657105.35027564
BIOD04297,0.0,1.0050352982491688,,-151442500.1812715
BIOD04298,0.9999820853760648,1.000000000000002,,-148969661.89063346
BIOD04301,0.0,1.0000000669904434,,-153300393.51951295
