#node	date	numeric date
GMHDK055-13|Cleridae|Cleridae|Honduras|Cortes|BIOUG_CUSU-NP_2	-133997976-01-01	-133997976.000000
GMCDR1337-17|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
NODE_0000345	-141151925-04-23	-141151924.691438
NODE_0000023	-138313510-08-09	-138313509.397082
GMHGE043-13|Cleridae|Cleridae|Honduras|Cortes|BIOUG_CUSU-NP_1	-133997976-01-01	-133997976.000000
NODE_0000024	-134382382-05-24	-134382381.606810
JCCCC2408-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	--	--
BIOD05994	-133997976-01-01	-133997976.000000
NODE_0000025	-138570347-09-19	-138570346.284434
GMCCD1388-17|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
NODE_0000026	-134316078-04-24	-134316077.689278
NODE_0000028	-134157338-05-14	-134157337.633055
CNKOU256-14|Isohydnocera|Cleridae|Canada|New_Brunswick|BIOUG_KOUCH-NP	-133997976-01-01	-133997976.000000
CNSLH012-12|Isohydnocera_curtipennis|Cleridae|Canada|Ontario|BIOUG_STLAW-NP	-133997976-01-01	-133997976.000000
NODE_0000352	-134316060-05-21	-134316059.614851
GMFRT577-15|Isohydnocera_curtipennis|Cleridae|United_States|Virginia|BIOUG_FRONTROYAL	-133997976-01-01	-133997976.000000
CNSLH013-12|Isohydnocera_curtipennis|Cleridae|Canada|Ontario|BIOUG_STLAW-NP	-133997976-01-01	-133997976.000000
NODE_0000029	-143664752-07-21	-143664751.447541
NODE_0000030	-141009330-11-21	-141009329.111843
NODE_0000031	-138633379-09-13	-138633378.298796
BIOD06883	-133997976-01-01	-133997976.000000
NODE_0000032	-134236738-07-15	-134236737.463905
GMMCK929-14|Cleridae|Cleridae|Mexico|Jalisco|BIOUG_CHAMELA	-133997976-01-01	-133997976.000000
GMMCF420-14|Cleridae|Cleridae|Mexico|Jalisco|BIOUG_CHAMELA	-133997976-01-01	-133997976.000000
NODE_0000033	-136116843-02-11	-136116842.887477
BIOD06430	-133997976-01-01	-133997976.000000
NODE_0000034	-134101179-12-26	-134101178.015007
BIOD07137	-133997976-01-01	-133997976.000000
BIOD05959	-133997976-01-01	-133997976.000000
NODE_0000371	-143664752-07-21	-143664751.447541
CCCP00048	-133997976-01-01	-133997976.000000
NODE_0000036	-138234283-03-28	-138234282.762747
BIOD03521	-133997976-01-01	-133997976.000000
NODE_0000037	-138225080-12-28	-138225079.010702
GMCGG1346-14|Cleridae|Cleridae|Costa_Rica|Guanacaste|BIOUG_ACG	-133997976-01-01	-133997976.000000
NODE_0000038	-138011046-07-09	-138011045.479460
JIAAG069-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
NODE_0000039	-134021370-09-02	-134021369.329207
BIOD06905	-133997976-01-01	-133997976.000000
NODE_0000040	-134021370-09-02	-134021369.329207
BIOD09221	-133997976-01-01	-133997976.000000
NODE_0000041	-134021370-09-02	-134021369.329207
BIOD04021	-133997976-01-01	-133997976.000000
NODE_0000042	-134021370-09-02	-134021369.329207
BIOD08428	-133997976-01-01	-133997976.000000
BIOD03202	-133997976-01-01	-133997976.000000
NODE_0000217	-145800669-06-10	-145800668.559386
NODE_0000383	-145800669-06-10	-145800668.559386
NODE_0000218	-142106382-03-02	-142106381.834204
GMNGG557-16|Cleridae|Cleridae|Papua_New_Guinea|Madang|	-133997976-01-01	-133997976.000000
NODE_0000219	-141482308-03-18	-141482307.791651
